Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"2 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",2.55 Cr,803 sqft,Sector 62,Semi-Furnished,1,2,Emaar Digi Homes
"3 BHK Flat for Sale in Sector 65, Gurgaon",2.65 Cr,1650 sqft,Gurgaon,Unfurnished,1,3,N/A
"3 BHK Flat for Sale in Godrej Meridien, Sector 106, Gurgaon",2.80 Cr,1501 sqft,Sector 106,Unfurnished,1,3,Godrej Meridien
"3 BHK Flat for Sale in Adani Samsara Vilasa, Sector 63, Gurgaon",2.70 Cr,1600 sqft,Sector 63,Semi-Furnished,2,3,Adani Samsara Vilasa
"3 BHK Flat for Sale in Birla Navya Avik Phase 1, Sector 63A, Gurgaon",3.46 Cr,1389 sqft,Sector 63A,Furnished,1,2,Birla Navya Avik Phase 1
"2 BHK Flat for Sale in Godrej Air, Sector 85, Gurgaon",1.35 Cr,1100 sqft,Sector 85,Unfurnished,255,2,Godrej Air
"3 BHK Flat for Sale in BPTP PARK SERENE, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.29 Cr,1814 sqft,Sector 37D,Unfurnished,1,3,BPTP PARK SERENE
"4 BHK Flat for Sale in M3M Flora, Sector 68, Gurgaon",1.16 Cr,1185 sqft,Sector 68,Unfurnished,1,3,M3M Flora
"3 BHK Flat for Sale in Vipul World Floors , Uppal Southend, Sector 49, Sohna Road, Gurgaon",2.10 Cr,1500 sqft,Uppal Southend,Semi-Furnished,1,3,Vipul World Floors
"4 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",1.80 Cr,2000 sqft,Sector 93,Semi-Furnished,1,4,Ashiana Amarah
"3 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",2.95 Cr,2200 sqft,Sector 76,Semi-Furnished,N/A,3,Whiteland The ASPEN
"4 BHK Flat for Sale in DLF Privana, Sector 76, Delhi Gurgaon Expressway, Gurgaon",4.34 Cr,3400 sqft,Sector 76,Semi-Furnished,2,4,DLF Privana
"3 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",1.45 Cr,1371 sqft,Sector 76,Semi-Furnished,N/A,3,Whiteland Blissville
"3 BHK Flat for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.25 Cr,1440 sqft,Sector 37D,Semi-Furnished,1,3,Signature Global City 37D
"4 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",5.77 Cr,2800 sqft,Sector 59,Semi-Furnished,1,5,Elevate
"3 BHK Flat for Sale in Sector 55, Gurgaon",1.99 Cr,1425 sqft,Gurgaon,Semi-Furnished,1,3,N/A
" Studio Apartment for Sale in Paragon Code 57, Block F Sector 57, Gurgaon",1.60 Cr,1010 sqft,Block F Sector 57,Unfurnished,1,1,Paragon Code 57
"2 BHK Flat for Sale in Godrej Habitat , Sector 3, Gurgaon",1.13 Cr,1050 sqft,Sector 3,Semi-Furnished,1,2,Godrej Habitat
"3 BHK Flat for Sale in Godrej Air, Sector 85, Gurgaon",2.20 Cr,2129 sqft,Sector 85,Semi-Furnished,2,4,Godrej Air
"4 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",2.68 Cr,1236 sqft,Sector 102,Semi-Furnished,2,4,Shapoorji Pallonji Joyville Gurugram
"3 BHK Flat for Sale in DLF Gardencity Enclave, Sector 93, Gurgaon",1.45 Cr,1250 sqft,Sector 93,Semi-Furnished,1,3,DLF Gardencity Enclave
"3 BHK Flat for Sale in Eldeco Acclaim, Sohna, Gurgaon",1 Cr,950 sqft,Sohna,Semi-Furnished,N/A,2,Eldeco Acclaim
"2 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",1.75 Cr,878 sqft,Sector 65,Unfurnished,1,2,M3M Heights
"3 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",2.05 Cr,1056 sqft,Sector 61,Semi-Furnished,1,3,Smart World Orchard
"3 BHK Flat for Sale in Ashok Estate, Sector 63A, Gurgaon",2.20 Cr,1210 sqft,Sector 63A,Semi-Furnished,N/A,3,Ashok Estate
